Name,LEVEL (Czech Republic),Game Rant,Playstation Official Magazine UK,Edge Magazine,Games.cz,Gamer.no,Washington Post,Softpedia,LaPS4,Vgames,DarkZero,Giant Bomb,Quarter to Three,Digital Spy,Cheat Code Central,Guardian,GRYOnline.pl,Gamersky,Digital Trends,SpazioGames,Telegraph,PSX Extreme,Meristation,Gameblog.fr,Easy Allies,Atomix,The Digital Fix,GameOver.gr,Game Over Online,Game Debate,Digital Chumps,DarkStation,Areajugones,3DJuegos,Game Informer,IGN Italia,We Got This Covered,Stevivor,TheSixthAxis,Twinfinite,Vandal,PLAY! Zine,PlayStation LifeStyle,PlayStation Universe,Press Start Australia,Push Square,Gaming Nexus,God is a Geek,IGN,IGN Spain,JeuxActu,M3,COGconnected,DualShockers,EGM,Everyeye.it,Game Revolution,Hobby Consolas,Game World Navigator Magazine,The Games Machine,Merlin'in Kazanı (Turkey),XGN,Power Unlimited,MMORPG.com,GamesBeat,Gamers' Temple,GamePro Germany,Multiplayer.it,CD-Action,TrueGaming,PlayGround.ru,InsideGamer.nl,Gamer.nl,Jeuxvideo.com,Gameplanet,Post Arcade (National Post),PlaySense,Critical Hit,Destructoid,CGMagazine,4Players.de,IGN Japan,Riot Pixels,GameCritics,The Daily Dot,Forbes,USgamer,Shacknews,Worth Playing,Cubed3,Metro GameCentral,GameSpot,Hardcore Gamer,Gamers Heroes,Video Chums,App Trigger,The Escapist,GameGrin,Slant Magazine,Ars Technica,British GQ,CNET,Eurogamer,Kotaku,Mashable,The A.V. Club,The Jimquisition,The Verge,VG247,Playstation Official Magazine Australia,Toronto Sun,Impulsegamer,GamesRadar+,NZGamer,Gamestyle,Gaming Age,Digitally Downloaded,VideoGamer,Eurogamer Germany,Eurogamer Spain,Eurogamer Italy,Games Master UK,Play UK,Pelit (Finland),CalmDownTom,Eurogamer Portugal,Level7.nu,Thunderbolt,GamingTrend,Gamer Escape,GameSkinny,Comicbook.com,Malditos Nerds,Daily Star,Screen Rant,GAMINGbible,RPG Site,Noisy Pixel,Attack of the Fanboy,RPG Fan,BaziCenter,ZTGD,RPGamer,Trusted Reviews,MGG,Wccftech,Player 2,GameSpace,TheGamer,Polygon,Gamereactor Denmark,LevelUp,GameSpew,The Sydney Morning Herald,New York Daily News,Yahoo!,AusGamers,GameCrate,PlayStation Country,games(TM),FANDOM,Metro Montreal,New Game Network,Time,Variety,Vice,KeenGamer,VGC,Carole Quintaine,GameMAG,Cultured Vultures,IBTimes UK,Arcade Sushi,Glixel,Wired,GameTrailers,ActionTrip,Brash Games,Eurogamer Poland,GamesVillage.it,Dealspwn,Kill Screen,Examiner,IGN Denmark,IGN Sweden,High-Def Digest,Hyper Magazine,PSNStores,Het Nieuwsblad,Road to VR,UploadVR,GMW3,GAMES.CH,Hey Poor Player,GamingBolt,Pure Playstation,Finger Guns,WellPlayed,Joystiq,Gamereactor Sweden,Let's Play Video Games,Sporting News,PCMag,NowGamer,Armchair Empire,PLAY,Siliconera,IGN France,Checkpoint Gaming,The Mako Reactor,PSX Brasil,GamersRD,Dexerto,Wired UK,D+PAD Magazine,MGG Spain,The Indie Game Website,But Why Tho?,IGN Adria,Inverse,Gamepressure,PC Games,Oyungezer,MeuPlayStation,Strategy Gamer,The Globe and Mail (Toronto),Machinima,GameFront,IGN Portugal,Gfinity,Shindig,GameByte,IndieWire,TierraGamer,TotalPlayStation,Launcher (The Washington Post),SECTOR.sk,NME,Android Central,Movies Games and Tech,Adventure Gamers,INVEN,GamesHub,Hooked Gamers,GGRecon,Gamer Limit
moss-book-ii,,70.0,,70.0,,,,,,,,,,,,,,,80,83.0,,,,,,,,90.0,,,,,,,,80,,,90,80.0,88.0,,,90.0,,80,,90,80,90.0,,,90,,,88,,85.0,,87.0,,,80.0,,,,,87,90.0,,,,85.0,85.0,,,,,,,,,,,,,,,,,80,,80.0,,80.0,,,,,,,,...,,,,,,,,,,,,,,,,,,80.0,,,,,,,,85,,,,85.0,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,...,80.0,87.0,,,,,95.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,80.0,80.0,,,,,,,
no-mans-sky-beyond,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,78,,,,87,,,80,,,,,,,,,,,,,,,,,,80.0,,,,,,,80,,,,,,,,,,70,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,80,,,,,95.0,,90,,,,,,,,,,75,,,,,,,,,,,,,95.0,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
life-is-strange-true-colors,,,,,,,,,,,,,,,,,,,,95.0,,,77.0,80.0,,,,,,,,,,,,,90,85,,,,90.0,90,,,,,,,,,,,,,,,,,,,,,85.0,,,85.0,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,80,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,88.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-of-duty-advanced-warfare,,,80,,,,,,86.0,,,80,,,88.0,,,,,,,85.0,,80.0,,,80,,,,,,,85,,82,,,90,,,,90,85.0,,80,88.0,90,91,,90.0,,,,,80,,,,,,,,,,,,,,,,,,,85,,90.0,,,,,,,,,,70,,,,80,80,,,,,,,90.0,,,,,,,,,,,85.0,70.0,90.0,,85.0,80.0,,70.0,80,80.0,,80.0,83.0,87.0,87.0,,80.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlb-14-the-show,,,80,,,,,,,,,,,,,,,,,,,89.0,,,,,,,88.0,,,,,,85,,,,,,,,85,90.0,,,85.0,,,,,,80,,75,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,80.0,80.0,,,,,83.0,,,,,,,,,,,,,85,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project-cars,,90.0,80,80.0,,90.0,,,86.0,,,,,80.0,,80,,,,,90,80.0,,,,87.0,80,80.0,92.0,,,,,85,85,,,,80,,,,80,80.0,,70,,90,89,,85.0,,,,70,,,93.0,,,,,,,,,,,,,,80.0,,,,80,,,,,,,,,,,90,,,,80,,,,,,,,60.0,,,,,,,,,,,90.0,,,,,,,90.0,80,,,,90.0,60.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fifa-19,,,90,,,80.0,,80.0,73.0,75.0,,,,,,80,85.0,89.0,70,86.0,,,90.0,,,85.0,,90.0,,,,,92.0,85,80,88,,,80,90.0,90.0,85.0,90,80.0,80.0,80,70.0,95,82,,90.0,90.0,79,85,,87,80,88.0,,86.0,88.0,,85.0,,,,,90,85.0,,85.0,,75.0,75.0,,,80.0,85,,,74,91.0,,,,92,,,70.0,50.0,,70,80.0,,,,,,,,,,...,,,,,,...,,,76.0,90,,,100.0,70.0,,,,80.0,90.0,,,,,,,90,,,,,,,,,,,,,,,80,,95.0,,,,...,,85.0,,80.0,,,,,80.0,80.0,80,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mortal-kombat-x,,80.0,80,50.0,,80.0,,,86.0,,80.0,80,,80.0,80.0,80,80.0,,90,85.0,80,86.0,88.0,80.0,,85.0,80,85.0,88.0,,88.0,80.0,,85,93,87,,,90,100.0,88.0,,90,85.0,,80,90.0,80,84,,90.0,,,,75,85,80,90.0,,,,70.0,81.0,,65,92.0,87.0,90,,,,83.0,,,95,,90.0,85,80,90.0,,,,,,,80,80,,,80,80,90.0,,,,90.0,,80.0,,,,,,,,,,,90.0,,92.0,70,95.0,70.0,83.0,80.0,80,,,80.0,84.0,90.0,,,,80.0,,,,,,,,,,,,90.0,,,,,,,,,,,85,,,,,100.0,,,,,80.0,,,,,,,,,,,,,90.0,,,84.0,86.0,,80.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nba-2k15,,,90,,,,,,93.0,,,60,,80.0,78.0,,,,,90.0,,,92.0,90.0,,,,80.0,,,,,,90,78,88,,,90,,92.0,,75,85.0,,80,,90,78,,90.0,,85,,60,,80,,,,,,92.0,,,,,,85.0,,,85.0,90.0,,85,,90.0,72,,,85,,,,,,90,,,,,90,80.0,,,,,,,,,,,,,,,,,90.0,,90.0,,,90.0,,,,90.0,90.0,90.0,89.0,84.0,83.0,,,70.0,,90,,,,,,,,,,,,,80.0,,,,,,,,60,,,,,,,,,,80.0,,,,,,,,,,,,,,,,87.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danganronpa-1-2-reload,,,,,,,,,,,70.0,,,,,,,,,80.0,,,,80.0,,,,,,,,90.0,85.0,80,,,,80,,80.0,82.0,,90,,,80,,90,,,,,,,,75,,75.0,,81.0,,85.0,,,,,,75,,,,,,,,,,,90,90.0,86,,,80.0,,,,,,,80,,90.0,,,85,,80.0,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,70,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madden-nfl-16,,80.0,80,,,,,,,,,80,,,80.0,80,,,,,,86.0,,80.0,,,80,,,,84.0,,,,88,,90,,90,80.0,,,90,80.0,,80,,85,88,,,,,,,,,,,,,85.0,,,78,,,,,,,,,,90,,,,65,,,,,95.0,,,80,60,,,,80,80.0,,,,,,,,,,,,,,,,,,,88.0,80,,,,90.0,,,,,,80.0,,,,,,90,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,83,,,,,,,,,,,,,,,,,,88.0,85.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiritfarer,,,80,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,90.0,,,,90.0,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizon-zero-dawn-the-frozen-wilds,80.0,,80,,80.0,90.0,,,80.0,,,,,80.0,,,80.0,,,85.0,80,,85.0,70.0,80.0,90.0,80,85.0,98.0,,90.0,80.0,85.0,80,80,85,,90,...,80.0,,,100,80.0,,80,90.0,90,88,90.0,85.0,,95,,75,80,,88.0,,80.0,84.0,80.0,,,,,90.0,82,80.0,,,80.0,80.0,,60,,,,75,90.0,85,,,90.0,,,...,,80.0,,70,80,80.0,,,,,,90.0,,,...,...,...,,,...,...,,,,92.0,80,,,100.0,70.0,,,,80.0,86.0,,,,,,,80,,,,,,,,80.0,,80.0,90,,85.0,,100,,95.0,,,,80,,83.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detention,,,,,,,,,,,70.0,,,,,,,,,,,80.0,,,,,,,,,85.0,,,85,,,,,80,,,,80,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,80.0,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superhot,,,70,,,,,,80.0,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,80,,,,95,80.0,,80,,,,,,,,90,,83,,,,,,,,,,,,,90.0,,,,,,,,85.0,,,80.0,84,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
street-fighter-30th-anniversary-collection,,,90,,,,,,,,,,,,,,,,,85.0,,,,,,,,85.0,,,90.0,,,85,,87,,,,,80.0,,,85.0,,80,88.0,,,,,,,,,77,,,,,,85.0,,,,85.0,,80,,,,,,70.0,,,90.0,,90,,80,,,,,,,70,,,,80,,,,75,,,,,,,...,,,,,,,,,82.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,80.0,,80.0,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamworld-heist,,,,,,,,,,,,,,,,,85.0,,,85.0,,,,,,,,,,,,90.0,,,,,,,,,,,,,,80,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tales-from-the-borderlands-episode-3---catch-a-ride,,,80,,,,,,,,,,,,,,,,,,,,,,,90.0,90,,,,,,,,,,,,,,,,80,,,80,,,,,,,,,,,,,,,,80.0,,,,,,,,,,85.0,85.0,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizon-forbidden-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,90,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,100.0,,,,,,,,,,,,,,,
infernax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,80,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,80.0,,,,80.0,,,90.0,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iconoclasts,,,,,,80.0,,,,,,,,,94.0,80,,,,80.0,,,,,,,,,,,,,,,90,80,80,,70,,82.0,,75,80.0,,80,,,84,70.0,,,,,,82,,,,,,,,,90,,,,,,,,80.0,,,,,,,,,,,90.0,,,,,,,70,90,,,81.0,,,,100.0,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assassins-creed-odyssey,,80.0,90,70.0,,80.0,70.0,90.0,92.0,85.0,,60,,,,,75.0,80.0,60,86.0,,,90.0,80.0,90.0,90.0,90,60.0,,,98.0,90.0,94.0,85,83,...,100,90,80,90.0,,,95,95.0,,80,95.0,80,92,,90.0,70.0,78,,,84,70,90.0,,84.0,78.0,92.0,82.0,,...,92.0,88.0,88,90.0,90.0,88.0,89.0,85.0,90.0,,80,85.0,95,,75.0,,,,65.0,,85,90,80,79.0,80.0,70,80,70.0,90.0,,,60.0,,70.0,,,,...,...,,...,...,...,,,,90.0,100,,,100.0,80.0,80,,,80.0,88.0,,,,,,,,,,,,,,,70.0,,,87,,,80,80,,,,90,,...,,83.0,,,,,,85,80.0,80.0,,,76,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
va-11-hall-a-cyberpunk-bartender-action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,90,90.0,,80,,,,,,,,,,,90,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zen-pinball-2-the-walking-dead,,,,,,,,85.0,,,,,,,,,,,,,,,,80.0,,,,,,,,80.0,,,,,,,,,,,,90.0,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom-finger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0,,,,,,,,,,,80,,,,,,,,,,87,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laser-league,,,80,90.0,,,,,,,,,,,,,,78.0,,80.0,,,85.0,,,,,,,,,,90.0,80,88,80,,,90,,80.0,,80,90.0,,80,,80,,80.0,,,78,,,80,,,,,,,,,,,,80,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,...,,,,,,,,,,,,,,,,,,80.0,90.0,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,90,,,,,,,90.0,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
street-fighter-v-champion-edition,,70.0,,,,,,,90.0,,,,,,,,,,,89.0,,,,90.0,,,,90.0,,,82.0,,,,,80,,,,,90.0,70.0,,,,,,85,,,,,83,,,80,,,,88.0,,85.0,,,,80.0,,,,,,,,90.0,,,,85,,80.0,,,,70.0,,,,,,70.0,90,,90.0,55.0,,,,,,,,,,,,,,,80,,,,,,,,,,,,80.0,,,,,,,,75,,,,,,,,,90.0,,,,,,,,,83.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sayonara-wild-hearts,,,70,,90.0,,80.0,,,,,,,,,,,,,81.0,,,,,,,,,,,100.0,,,,,,,,,,,70.0,95,90.0,,70,,,,83.0,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,90.0,,,,85,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watch-dogs-2,,80.0,80,80.0,80.0,90.0,80.0,,90.0,,,,,90.0,98.0,80,70.0,,,75.0,80,,80.0,80.0,80.0,85.0,80,85.0,75.0,,,90.0,90.0,90,78,87,80,85,90,90.0,85.0,,80,75.0,,80,,90,85,83.0,80.0,80.0,80,,80,80,90,90.0,87.0,80.0,85.0,80.0,,,80,,80.0,85,,85.0,,73.0,,,80,80,85.0,80,85,85.0,83,,,,90,90,80,80,70.0,,80,80,90.0,,,,,95.0,90.0,...,,,...,...,,,90,,,70.0,,,80,97.0,,83.0,90.0,80,,,80.0,85.0,,,,,,,90,,,,,,,,,,80.0,,80.0,90.0,,80,,90.0,,,,80,,,80,80.0,,,91.0,85,,,,,,60,,,,,,,,90.0,80.0,...,,,,,70.0,,,,,80.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand-of-fate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,80,70.0,80.0,,95,,,80,,70,80,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,...,,,...,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,90,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fifa-16,80.0,,90,,80.0,,,90.0,86.0,,90.0,,,80.0,,,,,,,80,90.0,88.0,,,,80,80.0,,,,80.0,,85,88,,,,,,,85.0,90,85.0,,80,,,78,,85.0,,,,,,,,,,,90.0,87.0,,,84.0,,,85.0,,,70.0,85.0,,80,,80.0,,,80.0,80,,,,,,70,,,,70,90,80.0,,,,,,,...,,,,,,,,,,90.0,,80.0,,88.0,,83.0,70.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuclear-throne,,,80,80.0,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,75,,,,,,90.0,,,90.0,,90,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,85.0,,,,,,80,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,91.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wreckfest,,,70,,,,,,82.0,,,,,,90.0,,,,,79.0,,,,,,,,,,,,,,80,,,,,90,,,85.0,65,90.0,,70,,,90,,,,,,,80,,,,,,,87.0,,,,,,,,,,,85.0,,,80.0,,,,80,,,,,,,,86.0,,,,,,,,,90.0,,,,,,,,,,,,,,80.0,,,,100.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outer-wilds,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,90.0,,70,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,80,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project-cars-2,,,80,,,,,,88.0,80.0,,,,,,,,,60,,,80.0,90.0,90.0,,84.0,,90.0,,,,,90.0,,78,90,70,,60,,90.0,,85,80.0,,...,,80,92,87.0,80.0,80.0,,,60,88,,90.0,,,,90.0,,,,,,88,,,70.0,,85.0,,,,90.0,75,,,,,,,,,,,,,80,70,80.0,,,,,,,,,,...,,,,,,,,,,,84.0,,91.0,90.0,,,,80.0,70.0,,,,,,,,,,,,,,,,,90.0,,,,,80,,,,,,,,85.0,,,,,,90,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katamari-damacy-reroll,,,70,,,,,,,,,,,,,,,,,,,,,,,,80,,,,90.0,80.0,,,,,,,,,,,80,90.0,,80,,80,,,,,85,,,85,,,,,,,,,,,,90,,,,,,,,,,,,100.0,,,,80.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,80.0,,,,,,,,,,,,,,80.0,,,,80.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yakuza-5-remastered,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,81.0,,,,,80,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
