Name,Slant Magazine,Forbes,The Enemy,Edge Magazine,GameCritics,Carole Quintaine,BaziCenter,PlayStation Country,Vgames,PLAY! Zine,Telegraph,New York Daily News,PlayStation Universe,The Loadout,TrueGaming,IGN Spain,Het Nieuwsblad,Meristation,IGN Japan,Daily Star,Atomix,Gaming Age,Game Rant,Digital Chumps,TheGamer,GamesRadar+,Digitally Downloaded,Screen Rant,SECTOR.sk,VGC,Areajugones,CD-Action,Cultured Vultures,Destructoid,Game Revolution,GameMAG,Gamer.no,GamesBeat,GamesHub,GameSpew,Gaming Nexus,GAMINGbible,God is a Geek,Guardian,XGN,Hobby Consolas,COGconnected,MGG Spain,Impulsegamer,PSX Brasil,IGN Brasil,PSX Extreme,GRYOnline.pl,GamingTrend,Worth Playing,Gamer.nl,Malditos Nerds,Press Start Australia,App Trigger,GamePro Germany,Video Chums,MeuPlayStation,Post Arcade (National Post),Softpedia,Gameblog.fr,Gamepressure,PlaySense,Washington Post,Push Square,TierraGamer,Games.cz,Power Unlimited,Metro GameCentral,Jeuxvideo.com,VideoGamer,Inverse,PlayStation LifeStyle,Dexerto,Eurogamer Italy,GAMES.CH,New Game Network,JeuxActu,T3,PLAY,3DJuegos,Ars Technica,Eurogamer,Giant Bomb,Kotaku,Launcher (The Washington Post),Polygon,Hardcore Gamer,We Got This Covered,Vandal,Attack of the Fanboy,TheSixthAxis,Noisy Pixel,Gamersky,Finger Guns,GamingBolt,Cubed3,Multiplayer.it,Everyeye.it,SpazioGames,But Why Tho?,Digital Spy,DualShockers,Variety,GameOver.gr,Trusted Reviews,IGN Portugal,VG247,MMORPG.com,IGN,IGN Adria,PC Games,Player 2,Siliconera,The Independent,Twinfinite,Gfinity,Checkpoint Gaming,EGM,4Players.de,INVEN,GamersRD,KeenGamer,LevelUp,IGN Italia,MGG,Game Informer,Oyungezer,GameByte,CGMagazine,The Games Machine,GameStar,The Jimquisition,Hey Poor Player,Stevivor,M3,Merlin'in Kazanı (Turkey),Android Central,IGN France,Easy Allies,PCMag,Shacknews,WellPlayed,GameSpot,AusGamers,Comicbook.com,ZTGD,GameSkinny,GameGrin,NME,Digital Trends,British GQ,CNET,The A.V. Club,The Verge,LEVEL (Czech Republic),The Sydney Morning Herald,Wccftech,LaPS4,IndieWire,Playstation Official Magazine UK,RPG Fan,RPGamer,Critical Hit,RPG Site,DarkStation,USgamer,Game World Navigator Magazine,Vice,Shindig,Game Over Online,The Mako Reactor,GameSpace,Gamer Escape,NPR,Gamereactor UK,Eurogamer Poland,Gamers Heroes,Quarter to Three,Mashable,Pure Playstation,Gamers' Temple,The Escapist,Gamereactor Spain,GGRecon,The So Videogames Podcast,Gamereactor Finland,Movies Games and Tech,Road to VR,Eurogamer Germany,UploadVR,GameCrate,The Digital Fix,Hot Games,GamePro,Sports Gaming Network,GamerWeb Sega,Da Gameboyz,Gaming Maxx,Dreamcast HQ,Happy Puppy,DC Swirl,The Indie Game Website
solar-ash,,,,70.0,,,,,,,,,80,,,,,,,,,,70.0,80.0,,90,,60,,80.0,,,,60,,70.0,,,,70.0,90,,,40.0,,85.0,86.0,,,,,,,85,,70.0,,90,70.0,,76.0,,,,,,,,70,,70.0,,90,80,80.0,,,,,,69.0,,,90.0,,,,,...,,,,60.0,80.0,90.0,90,,,,70.0,,80.0,,76,,,,,,,,60.0,,,,,,,,80.0,,,,,,,,,,,88,,,,,,,,,,,70,,80.0,,,95.0,80,,60,,,,,80.0,,,,,,,70,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,
immortals-fenyx-rising,,,,,,75,,80.0,,,,,80,,80.0,,,,,90.0,,,,90.0,,,,,,40.0,85,90.0,,70,60,,,,,80.0,,,90,60.0,,,87.0,,,,,,,,,,,,,,,,,,70.0,,85.0,,70,,,,,75,,,90.0,,,,78.0,75.0,,,,,,,...,,,,,,80.0,,85.0,,,,80.0,85.0,83,73,,,75,,,,,,70.0,,,,,,,,,,,87.0,,,,,,,,,,,85.0,,,,,80.0,,,,80.0,,,,70,,,,,90.0,,80.0,,,,,,,,,,70.0,,,,80.0,80.0,,82.0,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
sniper-elite-5,,,,,,,70.0,,,65.0,,,90,,,,,,,,,91.0,80.0,88.0,80,90,,80,,,,,,65,...,,30.0,90,,80.0,,60.0,85,,,83.0,60.0,,78,,,,,,,,,70,85.0,,,80.0,,80.0,,80.0,75.0,,...,,80.0,79.0,80,75,,,75.0,75.0,70.0,,,75.0,60,80.0,,,,,,,,80.0,,82.0,80.0,80,,,,80.0,,70.0,75,75,85,,,,,,,,,,80.0,80.0,,,,,40,75.0,,78.0,,,80.0,,83.0,,,,,75.0,,,,80.0,,,,,80.0,,,,80.0,,,,,60,,,70.0,,,,,,,82,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,
syberia-the-world-before,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,80.0,,,,,,,,,,,,,80.0,,80.0,,,,70.0,,,,,,,,,80,,,,,,,,80.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tinykin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,90.0,,,,,,,80.0,,,,,,,90,,,,,,,,,,,,,,,70,,,,60,85,,,,,,,,,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motogp-22,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,80.0,,,80,,,80.0,83.0,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,70,,,,,,,,,,70.0,,,,,,,,80.0,,78.0,80.0,,,,,70.0,,80.0,80,74,,,,,,,,,,,,70.0,,,,,60,,,,,,,,80.0,,,,,,84.0,,,,,,,,,,,,,,,,,,85.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrc-10-the-official-game,,,,,,,80.0,80.0,,80.0,,,80,,,,60.0,,,,,,,77.0,,,,,,,,,,,,,,,,80.0,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,80,,,,,80,,,80.0,,,,,,,80.0,,,,,,,,,,,,80,,,80.0,,80.0,,,78,,,,,80.0,,,,,,,,,,,,,,,62.0,,,,,,,,,,,75.0,,,,,,,,80.0,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,
puyo-puyo-tetris-2,,,,,,,,70.0,65.0,,,,,,,,,,,,,83.0,,75.0,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,80,,,,,85,,,80.0,,,,,,,,,,,,,,,,,80.0,,,,,,,,,78,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wavetale,,,,,,,,70.0,,,,,,,,,,,,,,91.0,,,70,,,,,,,,,,,,,,,70.0,80,,75,,,,74.0,,,,,,,,,,,,,,81.0,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lost-judgment-the-kaito-files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,80,,70.0,,,,,,,,70.0,,,,,70.0,,,,,,,,,,,,,85.0,,,,,70.0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,80.0,,,,,,,85.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
