Name,Slant Magazine,Forbes,The Enemy,Edge Magazine,GameCritics,Carole Quintaine,BaziCenter,PlayStation Country,Vgames,PLAY! Zine,Telegraph,New York Daily News,PlayStation Universe,The Loadout,TrueGaming,IGN Spain,Het Nieuwsblad,Meristation,IGN Japan,Daily Star,Atomix,Gaming Age,Game Rant,Digital Chumps,TheGamer,GamesRadar+,Digitally Downloaded,Screen Rant,SECTOR.sk,VGC,Areajugones,CD-Action,Cultured Vultures,Destructoid,Game Revolution,GameMAG,Gamer.no,GamesBeat,GamesHub,GameSpew,Gaming Nexus,GAMINGbible,God is a Geek,Guardian,XGN,Hobby Consolas,COGconnected,MGG Spain,Impulsegamer,PSX Brasil,IGN Brasil,PSX Extreme,GRYOnline.pl,GamingTrend,Worth Playing,Gamer.nl,Malditos Nerds,Press Start Australia,App Trigger,GamePro Germany,Video Chums,MeuPlayStation,Post Arcade (National Post),Softpedia,Gameblog.fr,Gamepressure,PlaySense,Washington Post,Push Square,TierraGamer,Games.cz,Power Unlimited,Metro GameCentral,Jeuxvideo.com,VideoGamer,Inverse,PlayStation LifeStyle,Dexerto,Eurogamer Italy,GAMES.CH,New Game Network,JeuxActu,T3,PLAY,3DJuegos,Ars Technica,Eurogamer,Giant Bomb,Kotaku,Launcher (The Washington Post),Polygon,Hardcore Gamer,We Got This Covered,Vandal,Attack of the Fanboy,TheSixthAxis,Noisy Pixel,Gamersky,Finger Guns,GamingBolt,Cubed3,Multiplayer.it,Everyeye.it,SpazioGames,But Why Tho?,Digital Spy,DualShockers,Variety,GameOver.gr,Trusted Reviews,IGN Portugal,VG247,MMORPG.com,IGN,IGN Adria,PC Games,Player 2,Siliconera,The Independent,Twinfinite,Gfinity,Checkpoint Gaming,EGM,4Players.de,INVEN,GamersRD,KeenGamer,LevelUp,IGN Italia,MGG,Game Informer,Oyungezer,GameByte,CGMagazine,The Games Machine,GameStar,The Jimquisition,Hey Poor Player,Stevivor,M3,Merlin'in Kazanı (Turkey),Android Central,IGN France,Easy Allies,PCMag,Shacknews,WellPlayed,GameSpot,AusGamers,Comicbook.com,ZTGD,GameSkinny,GameGrin,NME,Digital Trends,British GQ,CNET,The A.V. Club,The Verge,LEVEL (Czech Republic),The Sydney Morning Herald,Wccftech,LaPS4,IndieWire,Playstation Official Magazine UK,RPG Fan,RPGamer,Critical Hit,RPG Site,DarkStation,USgamer,Game World Navigator Magazine,Vice,Shindig,Game Over Online,The Mako Reactor,GameSpace,Gamer Escape,NPR,Gamereactor UK,Eurogamer Poland,Gamers Heroes,Quarter to Three,Mashable,Pure Playstation,Gamers' Temple,The Escapist,Gamereactor Spain,GGRecon,The So Videogames Podcast,Gamereactor Finland,Movies Games and Tech,Road to VR,Eurogamer Germany,UploadVR,GameCrate,The Digital Fix,Hot Games,GamePro,Sports Gaming Network,GamerWeb Sega,Da Gameboyz,Gaming Maxx,Dreamcast HQ,Happy Puppy,DC Swirl,The Indie Game Website
fifa-23,,78.0,80.0,,,,,,70.0,70.0,80.0,,60,80,85.0,80.0,60.0,80.0,,100.0,,,,,70,80,,...,,,90,80.0,,,,,60.0,,,80.0,80,,80,80.0,65.0,82.0,85.0,80.0,92,80.0,,,75.0,,,55.0,,80,,80.0,,82.0,,90.0,80.0,,70.0,,70,87.0,70.0,70.0,60,80,70.0,,,,,85.0,72.0,85.0,,80.0,...,,,,,,...,80.0,,73.0,,80,,80.0,,70.0,,,80,,,,,,80.0,80.0,60.0,60.0,,70,80.0,70.0,,,,70.0,70,,,,78.0,94.0,,,83.0,85.0,,,,,84.0,,,,,,,,60.0,,,,85.0,70,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nba-2k22,,,,,,,80.0,70.0,,,,,80,,80.0,70.0,,85.0,,,,,,75.0,60,,,80,,,,60.0,,,,,,,,,,,85,,,88.0,75.0,74.0,80,,,,,40,68.0,,,75,,,,,,70.0,,90.0,,,80,75.0,,,,85,,,,75.0,,,,80.0,,70.0,...,,,,,,,80.0,70.0,81.0,80.0,,,72.0,,,,,,85,,,80,,80.0,,,,,70,,,,,,,,,,,,,,,82.0,70.0,78,,,,,,,70.0,,,73.0,,90.0,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dying-light-2-stay-human,,,,70.0,,90,90.0,80.0,,80.0,60.0,,90,80,,,,80.0,,80.0,88.0,100.0,,,,,,,,60.0,,,,75,65,70.0,60.0,,60.0,,90,70.0,,40.0,,95.0,90.0,,,85.0,,,85.0,85,80.0,80.0,85,80,95.0,,,75.0,,,,85.0,75.0,,70,90.0,80.0,,70,85,70.0,70.0,75.0,,,,,75.0,,70.0,...,,,,,,...,70.0,80.0,,90.0,70,85.0,,80.0,70.0,,,,83,,,90,,,,,80.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,80,,,,,60.0,,,,,,,80,,,,,,,,,,,...,50.0,,,,80.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
overwatch-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,72.0,,,,,,,80,,70.0,,,,,80.0,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vengeful-guardian-moonrider,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,70.0,,,,,,,84.0,,,90.0,,,,,80.0,,,,,,74.0,,,,70.0,,,,80,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,70.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we-are-ofk,,,,,,,,,,,,,85,,,,,,,,,,,,80,,,,,,,,,,,,,,,60.0,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,70.0,,,...,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,91.0,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,85.0,70,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiny-tinas-wonderlands,,,,,,,85.0,,80.0,70.0,,,,,,,,,,,85.0,,60.0,,,,,,,,90,,,,,,,,,80.0,,,,,,,,,,,80.0,,,,,,80,80,,,70.0,80.0,,80.0,,,,,60,,60.0,,60,,,,,75.0,,,,,,80.0,,,,,,,,,,,,,,,90.0,,,,,,,,,,80.0,,,,,,90.0,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
call-of-duty-modern-warfare-ii,,,80.0,60.0,,...,,,75.0,70.0,60.0,,65,70,,,,,,100.0,79.0,,,90.0,...,,,70,,,,,,80,,,,,,,80,,...,80.0,85.0,85.0,,,82,80.0,,,80.0,,,80.0,,,,,,80.0,,85.0,,,,,...,83.0,80.0,82.0,...,...,,60.0,90.0,55.0,,,,80.0,...,70.0,,,,,...,...,,70.0,,,,80,70.0,,90.0,,,,80,72,...,,,,80.0,,,,,...,80.0,,,,,70.0,,,,80.0,,,80.0,,87.0,,65,,,,,,,,,,,,80.0,,,,,...,,,,,,,70.0,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,
pga-tour-2k23,,,,,80.0,,,,,,,,,,,,,,,,,,,,,80,,80,,,95,,,,,,,,,,70,,,,,,80.0,,88,80.0,,,,,,,,,85.0,,,70.0,,,,80.0,,,,,80.0,80.0,60,,,,,85.0,80.0,82.0,80.0,,,,...,,,,,70,...,80.0,,80.0,80.0,,,,,,,84.0,80,79,65,,,,,,,,,60,,,,,,,,,,,,50.0,,,82.0,,,,,75.0,80.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-of-duty-black-ops-cold-war,,75.0,,,,,,,80.0,,60.0,,80,,80.0,80.0,,,,80.0,75.0,,,90.0,,,70.0,,,60.0,80,70.0,,,80,,,80,,,70,,,,,90.0,,,,,,69.0,,,,,,,60.0,,,,80.0,,,,,,70,,,,,65,70.0,,90.0,,,,,,,,,,...,,...,,,80.0,,,,,80.0,,,,80.0,,,,,,,,,80.0,,,,...,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,75.0,,,,70,,,80.0,80,,,,,,,...,,,,,,70.0,,,,,80.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0,,,,,,,,,,
super-monkey-ball-banana-mania,,,,,,,,70.0,,,,,85,,,,,,,,,67.0,,79.0,,,,,,80.0,,,,80,,,,,,80.0,,,,,,,80.0,,,,,,,,,,,,,,75.0,,,,,,80.0,,60,,,,,60,,,,,,81.0,,,,,,,,,,,,,,,,70,90.0,,70.0,80.0,80.0,77.0,80,,,,,,,,,,,60,70.0,,,70.0,,,80,,,,,,,,,,,,75.0,,87.0,,,70.0,,,,,,,,80,,80,,,,,,,,,,,...,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
river-city-girls-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,80.0,,,85,,,,,,,60.0,,,,,80.0,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghostwire-tokyo,,,,70.0,55.0,60,75.0,,80.0,,80.0,,90,60,80.0,90.0,40.0,70.0,,60.0,90.0,100.0,70.0,85.0,80,70,70.0,90,,60.0,92,80.0,,75,80,,90.0,60,60.0,80.0,80,70.0,80,,70.0,85.0,82.0,75.0,,85.0,85.0,84.0,70.0,80,75.0,85.0,85,75,100.0,68.0,,80.0,,75.0,70.0,,80.0,,60,80.0,60.0,,40,80,70.0,70.0,95.0,85.0,80.0,70.0,62.0,85.0,,80.0,...,,...,,,,...,70.0,60.0,80.0,80.0,80,90.0,70.0,90.0,80.0,70.0,75.0,85,80,70,,80,,70.0,,,80.0,,70,,70.0,75.0,100.0,80.0,,,80.0,80,75.0,,90.0,70.0,70.0,90.0,65.0,80,,75.0,60.0,75.0,,,80.0,90.0,70.0,76.0,60,60.0,80.0,60,90,75.0,80,75.0,80,75.0,80,,60.0,70.0,,...,,...,,,,,,,,80.0,,,,,,,60.0,85.0,,,,,,,90.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,
asterigos-curse-of-the-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,60,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,70.0,,,,,75.0,,90.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bugsnax,,,,,90.0,,,80.0,,,,,80,,,75.0,,,70.0,,,83.0,,,,80,,,,,,,,,,,60.0,60,,90.0,,,,,,72.0,,80.0,,,,,,,,80.0,,80,,,74.0,,,,,,75.0,,70,,,,60,70,,,80.0,,,,77.0,,,80.0,,,,,,,,,,,,,,,,,,,67,70,,,,,,80.0,,,,80,,,,,,,,,,,,,,,75.0,,70,,,,,,,,,,,,,75.0,,,,80,,,,70,,,,,,,,,,,,,80.0,,,,,90.0,,,...,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,
powerwash-simulator,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,70,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiden-iv-x-mikado-remix,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,80.0,,,75,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavenly-bodies,,,,70.0,85.0,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,70.0,,,,,60,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,70,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot-wheels-unleashed,,,,,,,,80.0,,,,,80,,,,80.0,75.0,,,90.0,,,97.0,,,,,,,,,,,,,,,,80.0,,70.0,90,,,,78.0,,58,,,,,,75.0,,,,,,62.0,,,,70.0,,55.0,,70,86.0,80.0,72.0,,70,,,80.0,,70.0,,,,,50.0,...,,,,,,,80.0,,78.0,,,60.0,,100.0,80.0,,80.0,73,,,,,,90.0,,,,,,60.0,,,,,,,60.0,,,,,,,83.0,,80,,,,,,,,,,,,,,,,75.0,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,95.0,70.0,,,,,,,85.0,78.0,,,,,,,,,,,,,,,,,,,,,
the-falconeer-warrior-edition,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,80.0,,,,,,,,,,,,,,,,,,,75.0,,,,,70,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,
the-sinking-city,,,,,,,,70.0,,,,,,,,,,,,,,,,84.0,,,,70,,,,,,,,,,,,80.0,,,75,,,,86.0,75.0,,,,,,85,,,,,,,,,,,,,,,60,,,,,75,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farming-simulator-22,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,75.0,,,,,,,,,,,70.0,,,75.0,,70,,,75.0,,75,,,70.0,,70.0,81.0,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyberpunk-2077,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,85,,,,,,,,,,60.0,,,,,,,,,,,,,80.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-medium,,,,,,,70.0,60.0,,,,,60,60,,,,,,,,,,80.0,,,,80,,,,,,,,,,,,,,,90,,,,77.0,,,,,,,85,77.0,,,,60.0,,72.0,,,70.0,80.0,,80.0,,80,,,,,,,,75.0,,70.0,,,,,,,,,,,,,,,77.0,,,,,80.0,,,,70,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,84.0,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyond-a-steel-sky,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,60,,,,,75,,,,,,,,,,80.0,...,,,,,,,,,,,,,,70.0,,,,76,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demon-turf,,,,,75.0,,,,,,,,,,,,,,,,,,,,80,,,,,60.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,70,,,,80,,,,,,,,,,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greak-memories-of-azur,,,,,,,,60.0,,,,,70,,,,,,,,,,,,,,,90,,,,,70.0,,,,,,,60.0,65,,,,,,86.0,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,90.0,,,,,,,70.0,,,,,,,,,,,,60,,,,,,82.0,80,73,,,,,,,,,,,,,75.0,,,,,,,,,,,84.0,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darq-complete-edition,,,,,,,,70.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,
monster-energy-supercross---the-official-videogame-5,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,75,,,,75.0,,,75.0,,,,,,,,,80.0,,,,,,,,75.0,,,75.0,,,,70,,,,70.0,,,,,,,...,,,,,,,70.0,,,,,,,80.0,,,,70,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-quarry,,,,,85.0,,,,80.0,75.0,60.0,,85,,,,,,,,,83.0,,90.0,,,,,,,,,80.0,,,,70.0,,,,65,,,,,,,,,84.0,,,,,,,,,90.0,80.0,81.0,80.0,,75.0,,,75.0,,50,85.0,,,,,40.0,,,,,,75.0,,,80.0,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,66.0,,87.0,75.0,,,,,,,,84.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one-piece-odyssey,,,80.0,,,,,,75.0,75.0,,,85,70,80.0,,,,,,80.0,,70.0,75.0,,,80.0,70,,,78,,,,,60.0,60.0,,,80.0,,70.0,65,80.0,70.0,75.0,78.0,,,75.0,,,,85,75.0,,,,,72.0,,80.0,,,,,85.0,,80,,,,,70,,,,,,84.0,,,,70.0,...,,,,,,...,70.0,,60.0,70.0,80,80.0,73.0,,,,80.0,80,78,80,,,,,,70.0,,,70,90.0,60.0,75.0,70.0,,80.0,,80.0,,70.0,,80.0,,,,60.0,75,,,40.0,87.0,,,,,,,,80.0,75.0,,90,70.0,50,,80,,,90.0,,80.0,,,,,,,71,,,,72,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,
f1-manager-2022,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,80.0,,,80,,80.0,,80.0,,,,,,,,,,,,,,,,,,70.0,,70.0,,80,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,70.0,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arcade-paradise,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,70,,80.0,,,,,,,,,,90.0,,,90,60.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,80,,,,80,,,,,,,,,,,,,,,,,,,,,,,80,,,80.0,,,,,,,,,,,,,,,,70.0,,,,,,30,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mortal-shell-enhanced-edition,,,,,,,,,,,,,80,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,60.0,,,,70,,,,,75,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,
wrc-generations,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,65.0,,,,,,,80,,,,,,,,,,70.0,,,,,,,,,,,,80,,,,70.0,,,,,,,,,70.0,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soul-hackers-2,,,,50.0,,,75.0,70.0,,80.0,,,80,,80.0,70.0,,,,,85.0,83.0,80.0,,,,90.0,80,,,,,,85,,,,,,90.0,,,70,,,,,,,85.0,,,,,80.0,,,60,,,68.0,,,70.0,,,,,70,,,,50,70,,,,,70.0,77.0,,,,70.0,...,,,,,,,70.0,80.0,75.0,,,90.0,72.0,,80.0,80.0,70.0,85,79,,,,,70.0,,,,,,80.0,,,70.0,,70.0,,90.0,,,,80.0,,,79.0,65.0,65,80.0,,85.0,,,,80.0,,,,,,,,,80.0,70,,,,70,,,,,,,,,,,,,,73,80.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd-gundam-battle-alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,80.0,,,,,75.0,,,,,,,,,,,,,,80,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,70.0,,,,,,,,,,,,,,,,,,80.0,,,,,71.0,79.0,,70.0,70.0,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cursed-to-golf,,,,,,,,80.0,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,70,,,,,,70.0,,,,,70.0,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eiyuden-chronicle-rising,,,,,,,,,,,,,80,,,60.0,,,,,,,,,,,,,,,,,,80,,,,,,80.0,90,,,,,,65.0,,,80.0,,,,,,,75,,,,80.0,,,80.0,,,,,60,,,,,,,,75.0,,,,,,,60.0,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,70.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
fifa-21-nxt-lvl-edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,75.0,,,,,,,,,,,,,,80.0,,78.0,,,,,,,,,,85,,,,,,,60.0,,,,80,,,,,70,,,,,,86.0,,70.0,,,,,,,,,,60.0,,80.0,,,,,,,,80.0,75,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tom-clancys-rainbow-six-extraction,70.0,,,,,,60.0,,,60.0,,,60,90,,80.0,,,,80.0,75.0,,,83.0,,70,,60,,60.0,80,,,70,,,70.0,,60.0,80.0,88,,90,,60.0,75.0,,,...,,,,,,85.0,,,80,,,,,,,,,75.0,,60,85.0,,,80,80,,50.0,80.0,,,,,80.0,,70.0,,,...,,,,,70.0,,,60.0,70,80.0,,,,70.0,,75,75,,,,,,60.0,,,70.0,,60.0,,100.0,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,
chorus,,,,,,,70.0,80.0,,,,,70,,,,,,,,80.0,,,,,70,,90,,,,,,,,80.0,,,,60.0,65,,65,,,75.0,72.0,,78,,,,,,,,,60,,,79.0,,,,,,80.0,,70,85.0,80.0,,70,70,,,,,,,,,,70.0,...,,,,,,,80.0,,78.0,,,90.0,,70.0,,,73.0,,72,,,,,,,,,,80,,,,,,,,,,,,,,,81.0,75.0,,,,,75.0,,,,,,,,60.0,,,,,,,,,,,80.0,40.0,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arcadegeddon,,,60.0,,,,,,,,,,70,,,,,,,,,,,75.0,,,,90,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,72.0,,,,,,,70,,,,,70,,,,,,,,,,70.0,,,,,,,,,,,,,,,,70.0,,75.0,78,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-elder-scrolls-v-skyrim-anniversary-edition,,,,,,,75.0,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,80.0,76.0,,,,,,,,,,,,,,,,,,60.0,,,,80,,,,70,,,,,,90.0,,,,,70.0,,,,,,,,,,85.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
