Name,GameGrin,Shindig,KeenGamer,GameSpot,Wccftech,Ragequit.gr,IGN,TrueGaming,Press Start Australia,PCMag,Game Informer,Polygon,CPUGamer,Playboy,GameSpy,GamerArchive,Cincinnati Enquirer,eToychest,Adrenaline Vault,Gamer.tv,GamerFeed,Thunderbolt,Eurogamer,Xequted,G4 TV,GamePro,Times Online,Computer Games Magazine,The Sydney Morning Herald,Just Adventure,Four Fat Chicks,Frictionless Insight,Gaming Age,Boomtown,Total Video Games,Edge Magazine,Play Magazine,Yahoo!,Gamers Depot,Armchair Empire,The New York Times,GMR Magazine,Australian GamePro,Game Chronicles,Inside Gamer Online,VIA Gamers Arena,IC-Games,PC Gamer,Jolt Online Gaming UK,Gaming Horizon,Computer and Video Games,Game Over Online,Gamezilla!,Worth Playing,GameBiz,PGNx Media,AtomicGamer,Games Radar,PC Format,Gamer's Hell,XGP Gaming,Play.tm,3DAvenue,Gamers Europe,FiringSquad,IncGamers,Game Power Australia,Next Level Gaming,GamingTrend,Computer Games Online RO,Electric Playground,GameZone,GameSpot AU,My Gamer,WHAM! Gaming,Gamers' Temple,TotalGames.net,ActionTrip,Gaming Nexus,PC Gameworld,Warcry,Game Revolution,Cheat Code Central,1UP,Computer Gaming World,GameShark,GameCritics,Gamenikki,VGPub,netjak,DarkStation,CD-Action,GameOver.gr,LEVEL (Czech Republic),Impulsegamer,Gamer.no,DarkZero,AusGamers,Games.cz,We Got This Covered,Gameplanet,Atomix,God is a Geek,LevelUp,Gamer.nl,Eurogamer Italy,GameWatcher,PCGamesN,Twinfinite,Hardcore Gamer,Guardian,JeuxActu,VideoGamer,Eurogamer Poland,Meristation,Attack of the Fanboy,Gameblog.fr,GamesVillage.it,IGN Spain,Hobby Consolas,Vandal,SpazioGames,NZGamer,InsideGamer.nl,Hooked Gamers,PC Games,GRYOnline.pl,XGN,Merlin'in Kazanı (Turkey),3DJuegos,Digital Chumps,GameStar,PC PowerPlay,Digitally Downloaded,Dealspwn,Critical Hit,4Players.de,CGMagazine,GameTap,Game Almighty,GamerNode,AceGamez,Gamer 2.0,GamingExcellence,Game Positive,IGN AU,YouGamers,GameTrailers,Deeko,All Game Guide,Hot Games,Happy Puppy,GameDaily,The A.V. Club,PC Zone UK,PC Gamer UK,Digital Entertainment News,Just RPG,DailyGame,GamePower,CheckOut,Daily Radar,Quandary,Antagonist,Da Gameboyz,Gamer's Pulse,GamerWeb PC,CNET Gamecenter,Spank!,Game Rant,The Mako Reactor,Tech-Gaming,PC Invasion,Oyungezer,"Rock, Paper, Shotgun",PC Games (Russia),Adventure Gamers,GamesRadar+,Destructoid,Giant Bomb,Gaming Target,Bit-Gamer,GamingXP,Absolute Games,Cynamite,Pelit (Finland),Eurogamer Spain,Gamers.at,Gamereactor Denmark,Gamekult,Everyeye.it,MEGamers,PC Master (Greece),Level7.nu,Eurogamer Portugal,Total PC Gaming,RPGamer,D+PAD Magazine,Gamereactor Sweden,Gamervision,Multiplayer.it,RealGamer,IGN UK,9Lives,Kikizo,RPG Fan,PC Arena,GameNow,Pregaming,Hyper Magazine,Machinima,Toronto Sun,games(TM),Telegraph,The Escapist,Joystiq,Eurogamer Sweden,ZTGD,Games Master UK,Eurogamer Germany,GamesBeat,Riot Pixels,GameFront,NowGamer,Entertainment Weekly,BonusStage,GameSkinny,M3,NME,VG247,Hey Poor Player,Noisy Pixel,WellPlayed,Gamersky,The Games Machine,MMORPG.com,Gamers Heroes,Stevivor,Easy Allies,GameByte,Checkpoint Gaming,IGN Italia,GameSpace,RPG Site,GamingBolt,IGN Portugal,Jeuxvideo.com,Trusted Reviews,IGN France,MGG,Shacknews,But Why Tho?,Comicbook.com,Digital Trends,Cubed3,Siliconera,The Verge,Vice,PALGN,RewiredMind,PCWorld,Quarter to Three,Ten Ton Hammer,PLAY! Zine,Washington Post,Gamestyle,Softpedia,GameCrate,Ars Technica,Gaming Illustrated,Launcher (The Washington Post),GameSpew,Gfinity,Kotaku,Screen Rant,Windows Central,Daily Star,GMW3,Road to VR,UploadVR,DualShockers,VGC,COGconnected,Areajugones,Power Unlimited,Game World Navigator Magazine,Malditos Nerds,TheGamer,USgamer,Game Debate,Metro GameCentral,The Overpowered Noobs,British GQ,CNET,PlayGround.ru,Vgames,TheSixthAxis,Post Arcade (National Post),New Game Network,VideoGamesLife,Gamer Limit,Video Game Talk,BigPond GameArena,Wired,The Digital Fix,GamePen,Media and Games Online Network,Evil Avatar,New York Daily News,BaziCenter,SECTOR.sk,IGN Adria,TierraGamer,Gamepressure,IGN Japan,Cultured Vultures,Detroit Free Press,AltGaming,Stuff,Pelaaja (Finland),Maxim Online,Cinescape,Game Fan,Operation Sports,Play (Poland),The Jimquisition,Kill Screen,GamesHub,Dexerto,Gamer Escape,Inverse,Het Nieuwsblad,Brash Games,Sporting News,Examiner,Sports Gaming Network,Voodoo Extreme,Player 2,INVEN,HellBored,Gameplayer,Variety,Forbes,Arcade Sushi,IBTimes UK,The Daily Dot,IGN Sweden,MGG Spain,GotNext,PTGamers,NTSC-uk,GameBrink,Strategy Gamer,Gameplayer Sweden,GameFocus,WonderwallWeb,The Indie Game Website,Slant Magazine,FHM,Next Generation Magazine,Digital Spy,EGM,FANDOM,Finger Guns,GameMAG,Mashable,Buried Treasure,App Trigger,GamesNation,GamersRD,ICXM,High-Def Digest,IGN Denmark,TouchArcade,GAMINGbible,Movies Games and Tech,Time,Glixel,GAMES.CH,The Enemy,SomosXbox,XboxEra,The Indie Informer,Gamereactor Finland,Gamereactor UK,Metro Montreal,Carole Quintaine,CalmDownTom,PlaySense,UGO,Let's Play Video Games,Village Voice,GameReviewer,The Loadout,The Independent,GamePro Germany,Android Central,NPR,GGRecon,TotalPlayStation,PSX Extreme,Xbox Tavern,Pure Xbox,IGN Brasil,IndieWire,Play UK,PlayStation LifeStyle,PSM3 Magazine UK,Grab It Magazine,Wired UK,BBC Sport
dark-souls-iii-the-ringed-city,,,,80,80,95.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,75.0,,,,80,,,,,70.0,,,90.0,,,,,,,,,,,70,,,,,,90,,,,,,,,,,,80.0,,,85,,,,,,,,,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,90,,,,,,85,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,70.0,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dawn-of-discovery,,,,85,,,82,,,,,,100.0,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,87.0,,,,,,,,,,,85.0,,90.0,,,,,,,,,,,,,,75.0,,,,,,,,80.0,,,,,,,90.0,,,,90,80.0,,,,,,,,,80.0,,,,,,92.0,,,85.0,,91.0,,,,83,,91,,,,,,,,,,80.0,,,,,,,,,,,,,72.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,90.0,,,92.0,,,80.0,,,,,70.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitman-2,,,,80,,80.0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,80.0,,80,,,,,,,,,,,,,,,,,90.0,82.0,,80.0,80.0,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,87.0,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,88,,,,,,...,,,,,,,,,,,,77,,,,90.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-noire-the-vr-case-files,,,,80,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,70.0,,,,,,,,,70,,,,,,,85.0,,,80.0,90,80.0,,70.0,,85.0,,,,,70.0,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,86.0,,,,,,,,,,80.0,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,80,80,,92.0,,90.0,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city-of-villains,,,,82,,,80,,,,88,,,,90.0,,,,,,100.0,,90,80.0,80.0,80.0,,80.0,,,,,,90.0,,,80.0,80.0,,,,,,82.0,,,,73,,,81.0,,,90.0,,,,,88.0,,,83.0,,80.0,,,,,,83.0,,89.0,,88.0,,86,,87.0,,80.0,,,84.0,85.0,80.0,83.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-banner-saga-2,90.0,,,80,,95.0,89,,,,85,80,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,80.0,,,,,,,,,,,,,70.0,,80.0,,70.0,,,70.0,70.0,80.0,,95,,,90.0,85.0,80,,90,,,,,,,,,78.0,,80.0,,,,90.0,88.0,,,,80,,87,90,80.0,,,,80.0,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,80.0,,,70,,...,,,,85,,,,,,,83.0,,,,,90.0,,,,,,,,,,90.0,,,,,90.0,,,,,,,80.0,,,,,,78.0,,,80.0,,,,,,,,,,,,,80.0,,,,80.0,,,85.0,,,,,,,,,,,,,,,,,,,70,,,80.0,,,90,90,,,,70,,...,,,,,,,,,,75.0,,80,,,,,70,,,,,,80,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,90.0,,80.0,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,90,,,,,,,,,,90.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatsune-miku-project-diva-megamix+,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,90.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,50.0,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaze-and-the-wild-masks,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,80.0,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kentucky-route-zero---act-ii,,,,80,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
football-manager-2018,,,,90,90,85.0,,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,90.0,,,88,70.0,,,80.0,,,,,,,80.0,,90,,,,,,,85.0,,80.0,,82.0,,80.0,85,,,,,,85.0,,80,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,...,,,60,,,,,,,,,,,,,80.0,,,,,,,,,,84.0,,,,,,,,,,,,90.0,80,,,,,,,,,,,,,,80.0,,,,,,88.0,84.0,,,,,,,,,,,,,80.0,,,,,,,80.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tom-clancys-splinter-cell-blacklist,,,,,,,92,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,80,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,84,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,88.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not-for-broadcast,95.0,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,85.0,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,...,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,80,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sam-max-save-the-world-remastered,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,75.0,,,,,75.0,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,80.0,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superhot,90.0,,,80,78,82.0,75,,,,78,90,,,,,,,,,,,,,,,,,,,,,100.0,,,70.0,,,,,,,,,,,,84,,,,70.0,,,,,,,,,,,,,,,,,75,,,,,,,68,,84.0,,,,,,,,,90.0,,,,80,70.0,65.0,80.0,,70.0,100.0,,70.0,90.0,90.0,,85,85.0,85,70.0,80.0,,70,90,,90.0,90.0,70.0,88.0,80,90.0,,85.0,,88.0,,,85.0,90.0,82.0,80.0,,80.0,75,100,80,90,,,80,85,100.0,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,90,,...,,,,90,80,,,,,,90.0,,,,,85.0,,,,,,,,,,88.0,,,,,,,,,,,80.0,80.0,80,80,,,80.0,90.0,,,60.0,,,,,,,,,,,,,85.0,,,,,,,90.0,,,,,,,,,,,,,,,,,,,80,80.0,,95.0,100.0,,95,90,...,,,70,,,,,,,,,,,80.0,85.0,78.0,77,,,90,90.0,60,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,95,78.0,,,,,,80.0,,80.0,,,,,,,,,80.0,,100,70.0,,,,,,,,,,,80.0,,,,,,,,,,,,,85.0,80.0,70.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowrunner,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,80.0,,,,,,,,90,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,90,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,79,,,,80.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yakuza-6-the-song-of-life,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,85.0,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
act-of-war-direct-action,,,,85,,,85,,,,83,,,,70.0,,,84.0,,,80.0,70.0,80,90.0,80.0,70.0,,90.0,,,,,,80.0,,,,80.0,,82.0,,,,77.0,,,,82,82.0,,84.0,83.0,,90.0,85.0,,,,82.0,78.0,,,,,,79.0,,85.0,87,,,86.0,,80.0,,,,77.0,84.0,86.0,90.0,,95.0,85.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,70.0,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tekken-7,,,,80,,94.0,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,75.0,,,,90,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,87.0,90.0,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,...,,,,,,,,,,,,,,,,,86,,,,,,90.0,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mortal-kombat-11,,,,90,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,80.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sokobond,,,,,,89.0,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-plague-tale-requiem,,,,70,90,90.0,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,70.0,70.0,80,,,,,,,,,90.0,,,,85.0,78,,,,,90.0,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90.0,...,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,80.0,,,,,,,90,,,,,,,95,,,,90,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,90.0,,,,,,,,,,,,,,,70.0,,80.0,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,
sam-max-episode-105-reality-20,,,,80,,,82,,,,,,84.0,,70.0,,,,,,,,80,,,,,,,,,,,,,,,80.0,,90.0,,,,,,,,88,85.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,88,,84.0,89.0,86.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,90.0,,,,,,,,,,,90.0,,83.0,67.0,,,,,,,,,,,,,,,,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one-step-from-eden,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
